TURNSTILE_ID,DATE,NET_ENTRIES
N049-R084-01-00-00,2013-08-01,853.0
N049-R084-01-00-00,2013-08-02,783.0
N049-R084-01-00-00,2013-08-03,694.0
N049-R084-01-00-00,2013-08-04,757.0
N049-R084-01-00-00,2013-08-05,860.0
N049-R084-01-00-00,2013-08-06,946.0
N049-R084-01-00-00,2013-08-07,844.0
N049-R084-01-00-00,2013-08-08,908.0
N049-R084-01-00-00,2013-08-09,822.0
N049-R084-01-00-00,2013-08-10,813.0
N049-R084-01-00-00,2013-08-11,782.0
N049-R084-01-00-00,2013-08-12,796.0
N049-R084-01-00-00,2013-08-13,785.0
N049-R084-01-00-00,2013-08-14,919.0
N049-R084-01-00-00,2013-08-15,921.0
N049-R084-01-00-00,2013-08-16,993.0
N049-R084-01-00-00,2013-08-17,719.0
N049-R084-01-00-00,2013-08-18,650.0
N049-R084-01-00-00,2013-08-19,807.0
N049-R084-01-00-00,2013-08-20,878.0
N049-R084-01-00-00,2013-08-21,855.0
N049-R084-01-00-00,2013-08-22,744.0
N049-R084-01-00-00,2013-08-23,813.0
N049-R084-01-00-00,2013-08-24,772.0
N049-R084-01-00-00,2013-08-25,692.0
N049-R084-01-00-00,2013-08-26,843.0
N049-R084-01-00-00,2013-08-27,850.0
N049-R084-01-00-00,2013-08-28,870.0
N049-R084-01-00-00,2013-08-29,880.0
N049-R084-01-00-00,2013-08-30,981.0
N049-R084-01-00-00,2013-08-31,692.0
N049-R084-01-00-01,2013-08-01,913.0
N049-R084-01-00-01,2013-08-02,961.0
N049-R084-01-00-01,2013-08-03,720.0
N049-R084-01-00-01,2013-08-04,871.0
N049-R084-01-00-01,2013-08-05,1032.0
N049-R084-01-00-01,2013-08-06,1104.0
N049-R084-01-00-01,2013-08-07,1008.0
N049-R084-01-00-01,2013-08-08,992.0
N049-R084-01-00-01,2013-08-09,945.0
N049-R084-01-00-01,2013-08-10,857.0
N049-R084-01-00-01,2013-08-11,842.0
N049-R084-01-00-01,2013-08-12,970.0
N049-R084-01-00-01,2013-08-13,893.0
N049-R084-01-00-01,2013-08-14,1111.0
N049-R084-01-00-01,2013-08-15,1045.0
N049-R084-01-00-01,2013-08-16,842.0
N049-R084-01-00-01,2013-08-17,817.0
N049-R084-01-00-01,2013-08-18,683.0
N049-R084-01-00-01,2013-08-19,941.0
N049-R084-01-00-01,2013-08-20,1056.0
N049-R084-01-00-01,2013-08-21,1010.0
N049-R084-01-00-01,2013-08-22,906.0
N049-R084-01-00-01,2013-08-23,1021.0
N049-R084-01-00-01,2013-08-24,866.0
N049-R084-01-00-01,2013-08-25,752.0
N049-R084-01-00-01,2013-08-26,931.0
N049-R084-01-00-01,2013-08-27,1029.0
N049-R084-01-00-01,2013-08-28,1015.0
