STATION,NET_ENTRIES,NET_EXITS,BUSYNESS
1 AVE,22645.0,21882.0,44527.0
103 ST,33284.0,23328.0,56612.0
103 ST-CORONA,18951.0,14466.0,33417.0
104 ST,2439.0,1964.0,4403.0
110 ST,11323.0,9643.0,20966.0
110 ST-CATHEDRL,12763.0,6738.0,19501.0
110 ST-CPN,8280.0,8106.0,16386.0
111 ST,12877.0,10235.0,23112.0
116 ST,32275.0,19354.0,51629.0
116 ST-COLUMBIA,15039.0,6782.0,21821.0
121 ST,2057.0,1465.0,3522.0
125 ST,78088.0,60884.0,138972.0
135 ST,19121.0,8864.0,27985.0
137 ST-CITY COL,12187.0,11672.0,23859.0
138 ST-3 AVE,7349.0,5753.0,13102.0
138 ST-GR CONC,2933.0,2654.0,5587.0
14 ST,42332.0,30225.0,72557.0
14 ST-6 AVE,18080.0,20753.0,38833.0
14 ST-UNION SQ,104395.0,92719.0,197114.0
145 ST,33225.0,28415.0,61640.0
148 ST-LENOX,3542.0,3033.0,6575.0
149 ST-3 AVE,23587.0,8659.0,32246.0
149 ST-GR CONC,11781.0,8203.0,19984.0
14TH STREET,8283.0,8452.0,16735.0
15 ST-PROSPECT,6197.0,3197.0,9394.0
155 ST,6191.0,4276.0,10467.0
157 ST,9993.0,8082.0,18075.0
161 ST-YANKEE,22402.0,12593.0,34995.0
163 ST-AMSTERDM,4004.0,1911.0,5915.0
167 ST,18106.0,13395.0,31501.0
168 ST-BROADWAY,24122.0,18011.0,42133.0
169 ST,8767.0,7735.0,16502.0
170 ST,14982.0,8756.0,23738.0
174 ST,6452.0,5842.0,12294.0
174-175 ST,4792.0,1891.0,6683.0
175 ST,13142.0,7690.0,20832.0
176 ST,5559.0,3388.0,8947.0
18 AVE,14785.0,10196.0,24981.0
18 ST,7971.0,4963.0,12934.0
181 ST,19888.0,19499.0,39387.0
182-183 ST,4235.0,1731.0,5966.0
183 ST,5935.0,3304.0,9239.0
190 ST,4267.0,2101.0,6368.0
191 ST,7424.0,8181.0,15605.0
2 AVE,17779.0,17475.0,35254.0
20 AVE,8251.0,5238.0,13489.0
207 ST,5901.0,2856.0,8757.0
21 ST,8493.0,7908.0,16401.0
215 ST,2038.0,1042.0,3080.0
219 ST,3226.0,1377.0,4603.0
22 AVE-BAY PKY,1356.0,509.0,1865.0
225 ST,4053.0,1487.0,5540.0
23 ST,71772.0,56931.0,128703.0
23 ST-5 AVE,24078.0,13143.0,37221.0
23 ST-6 AVE,29190.0,25937.0,55127.0
231 ST,8573.0,2251.0,10824.0
233 ST,5215.0,1552.0,6767.0
238 ST,3549.0,315.0,3864.0
242 ST,6671.0,3006.0,9677.0
25 AVE,4277.0,1521.0,5798.0
25 ST,3589.0,3333.0,6922.0
28 ST,40371.0,33537.0,73908.0
28 ST-BROADWAY,12585.0,14113.0,26698.0
3 AVE,6677.0,6654.0,13331.0
33 ST,34874.0,26691.0,61565.0
33 ST/RAWSON ST,12182.0,10408.0,22590.0
34 ST-HERALD SQ,115856.0,103225.0,219081.0
34 ST-PENN STA,176086.0,156316.0,332402.0
36 ST,15911.0,12220.0,28131.0
4 AVE,3997.0,5139.0,9136.0
40 ST-LOWERY ST,10022.0,9871.0,19893.0
42 ST-BRYANT PK,43085.0,41635.0,84720.0
42 ST-GRD CNTRL,165350.0,151428.0,316778.0
42 ST-PA BUS TE,100821.0,83297.0,184118.0
42 ST-TIMES SQ,106764.0,99420.0,206184.0
45 ST,6463.0,4585.0,11048.0
46 ST,8719.0,7839.0,16558.0
46 ST-BLISS ST,13951.0,11070.0,25021.0
47-50 ST-ROCK,65421.0,64976.0,130397.0
49 ST-7 AVE,26953.0,24501.0,51454.0
5 AVE-53 ST,28642.0,24581.0,53223.0
5 AVE-59 ST,18814.0,14117.0,32931.0
5 AVE-BRYANT PK,12544.0,10824.0,23368.0
50 ST,49589.0,43679.0,93268.0
51 ST,25573.0,27827.0,53400.0
52 ST-LINCOLN,6582.0,6845.0,13427.0
53 ST,7136.0,3603.0,10739.0
55 ST,1851.0,1353.0,3204.0
57 ST,16461.0,14572.0,31033.0
57 ST-7 AVE,28504.0,16913.0,45417.0
59 ST,63565.0,54753.0,118318.0
59 ST-COLUMBUS,66855.0,48785.0,115640.0
6 AVE,5682.0,2372.0,8054.0
61 ST/WOODSIDE,16253.0,17126.0,33379.0
63 DR-REGO PARK,3853.0,813.0,4666.0
65 ST,3459.0,2794.0,6253.0
66 ST-LINCOLN,20961.0,19191.0,40152.0
67 AVE,8915.0,4814.0,13729.0
68ST-HUNTER COL,33685.0,20182.0,53867.0
69 ST-FISK AVE,4721.0,4384.0,9105.0
7 AV-PARK SLOPE,11316.0,2740.0,14056.0
7 AVE,9005.0,8513.0,17518.0
7 AVE-53 ST,17209.0,18558.0,35767.0
71 ST,4322.0,2547.0,6869.0
72 ST,48394.0,44839.0,93233.0
74 ST-BROADWAY,3603.0,5046.0,8649.0
75 AVE,3766.0,401.0,4167.0
77 ST,42461.0,38180.0,80641.0
79 ST,22376.0,11434.0,33810.0
8 AVE,35160.0,29531.0,64691.0
8 ST-B'WAY NYU,16402.0,11787.0,28189.0
81 ST-MUSEUM,17591.0,15278.0,32869.0
82 ST-JACKSON H,15080.0,17283.0,32363.0
86 ST,104674.0,90419.0,195093.0
9 AVE,5561.0,5908.0,11469.0
9 ST,7901.0,5142.0,13043.0
90 ST-ELMHURST,16163.0,9018.0,25181.0
96 ST,46876.0,24371.0,71247.0
9TH STREET,4860.0,4604.0,9464.0
ALABAMA AVE,2397.0,2447.0,4844.0
ALLERTON AVE,5334.0,2328.0,7662.0
AQUEDUCT TRACK,20.0,81.0,101.0
AQUEDUCT-N CNDT,2775.0,2532.0,5307.0
ASTOR PLACE,17393.0,18210.0,35603.0
ATLANTIC AVE,21756.0,17601.0,39357.0
AVE H,2445.0,2029.0,4474.0
AVE I,2309.0,2283.0,4592.0
AVE J,5221.0,3020.0,8241.0
AVE M,4680.0,1964.0,6644.0
AVE N,3047.0,2138.0,5185.0
AVE P,2511.0,1805.0,4316.0
AVE U,12126.0,6498.0,18624.0
AVE X,2863.0,1966.0,4829.0
BAY 50 ST,2561.0,920.0,3481.0
