DATE,STATION,BUSYNESS
08-01-13,103 ST,19105.0
08-01-13,110 ST-CATHEDRL,19501.0
08-01-13,116 ST-COLUMBIA,21821.0
08-01-13,125 ST,15664.0
08-01-13,137 ST-CITY COL,23859.0
08-01-13,14 ST,37283.0
08-01-13,145 ST,17371.0
08-01-13,157 ST,18075.0
08-01-13,168 ST-BROADWAY,24965.0
08-01-13,18 ST,12934.0
08-01-13,181 ST,21024.0
08-01-13,191 ST,15605.0
08-01-13,207 ST,8757.0
08-01-13,215 ST,3080.0
08-01-13,23 ST,27985.0
08-01-13,231 ST,10824.0
08-01-13,238 ST,3864.0
08-01-13,242 ST,9677.0
08-01-13,28 ST,25745.0
08-01-13,34 ST-PENN STA,168206.0
08-01-13,42 ST-TIMES SQ,174870.0
08-01-13,50 ST,52275.0
08-01-13,59 ST-COLUMBUS,21333.0
08-01-13,66 ST-LINCOLN,40152.0
08-01-13,72 ST,76585.0
08-01-13,79 ST,25149.0
08-01-13,86 ST,36782.0
08-01-13,96 ST,24178.0
08-01-13,CANAL ST,12816.0
08-01-13,CHAMBERS ST,36186.0
08-01-13,CHRISTOPHER ST,19364.0
08-01-13,DYCKMAN ST,9737.0
08-01-13,FRANKLIN ST,9195.0
08-01-13,HOUSTON ST,28379.0
08-01-13,MARBLE HILL-225,6514.0
08-01-13,RECTOR ST,19314.0
08-02-13,103 ST,18452.0
08-02-13,110 ST-CATHEDRL,19284.0
08-02-13,116 ST-COLUMBIA,19261.0
08-02-13,125 ST,15096.0
08-02-13,137 ST-CITY COL,22604.0
08-02-13,14 ST,36968.0
08-02-13,145 ST,17559.0
08-02-13,157 ST,18204.0
08-02-13,168 ST-BROADWAY,23686.0
08-02-13,18 ST,12485.0
08-02-13,181 ST,21219.0
08-02-13,191 ST,14808.0
08-02-13,207 ST,8764.0
08-02-13,215 ST,2769.0
08-02-13,23 ST,26762.0
08-02-13,231 ST,10461.0
08-02-13,238 ST,3777.0
08-02-13,242 ST,10470.0
08-02-13,28 ST,23006.0
08-02-13,34 ST-PENN STA,160870.0
08-02-13,42 ST-TIMES SQ,170975.0
08-02-13,50 ST,49848.0
08-02-13,59 ST-COLUMBUS,20473.0
08-02-13,66 ST-LINCOLN,36866.0
08-02-13,72 ST,75294.0
08-02-13,79 ST,23769.0
08-02-13,86 ST,34497.0
08-02-13,96 ST,22762.0
08-02-13,CANAL ST,12142.0
08-02-13,CHAMBERS ST,32326.0
08-02-13,CHRISTOPHER ST,19855.0
08-02-13,DYCKMAN ST,9260.0
08-02-13,FRANKLIN ST,8222.0
08-02-13,HOUSTON ST,25623.0
08-02-13,MARBLE HILL-225,6417.0
08-02-13,RECTOR ST,19650.0
08-03-13,103 ST,14026.0
08-03-13,110 ST-CATHEDRL,14614.0
08-03-13,116 ST-COLUMBIA,9444.0
08-03-13,125 ST,12008.0
08-03-13,137 ST-CITY COL,17382.0
08-03-13,14 ST,27397.0
08-03-13,145 ST,15052.0
08-03-13,157 ST,14200.0
08-03-13,168 ST-BROADWAY,10801.0
08-03-13,18 ST,6783.0
08-03-13,181 ST,16751.0
08-03-13,191 ST,10917.0
08-03-13,207 ST,7206.0
08-03-13,215 ST,1706.0
08-03-13,23 ST,16494.0
08-03-13,231 ST,6683.0
08-03-13,238 ST,2220.0
08-03-13,242 ST,6493.0
08-03-13,28 ST,11302.0
08-03-13,34 ST-PENN STA,84283.0
08-03-13,42 ST-TIMES SQ,126229.0
08-03-13,50 ST,27117.0
08-03-13,59 ST-COLUMBUS,13983.0
08-03-13,66 ST-LINCOLN,24403.0
08-03-13,72 ST,55934.0
08-03-13,79 ST,18746.0
08-03-13,86 ST,24326.0
08-03-13,96 ST,14876.0
08-03-13,CANAL ST,6857.0
08-03-13,CHAMBERS ST,16904.0
08-03-13,CHRISTOPHER ST,16412.0
08-03-13,DYCKMAN ST,7926.0
08-03-13,FRANKLIN ST,3432.0
08-03-13,HOUSTON ST,10304.0
08-03-13,MARBLE HILL-225,4789.0
08-03-13,RECTOR ST,11489.0
08-04-13,103 ST,12471.0
08-04-13,110 ST-CATHEDRL,13098.0
08-04-13,116 ST-COLUMBIA,8522.0
08-04-13,125 ST,10864.0
08-04-13,137 ST-CITY COL,15657.0
08-04-13,14 ST,25553.0
08-04-13,145 ST,13500.0
08-04-13,157 ST,12522.0
08-04-13,168 ST-BROADWAY,9315.0
08-04-13,18 ST,5592.0
08-04-13,181 ST,14516.0
08-04-13,191 ST,10071.0
08-04-13,207 ST,6536.0
08-04-13,215 ST,1493.0
08-04-13,23 ST,14281.0
08-04-13,231 ST,6047.0
08-04-13,238 ST,2122.0
08-04-13,242 ST,6911.0
08-04-13,28 ST,9244.0
08-04-13,34 ST-PENN STA,76469.0
08-04-13,42 ST-TIMES SQ,111554.0
08-04-13,50 ST,23962.0
08-04-13,59 ST-COLUMBUS,14079.0
08-04-13,66 ST-LINCOLN,21280.0
08-04-13,72 ST,53956.0
08-04-13,79 ST,17246.0
08-04-13,86 ST,22504.0
08-04-13,96 ST,13869.0
08-04-13,CANAL ST,5471.0
08-04-13,CHAMBERS ST,15086.0
08-04-13,CHRISTOPHER ST,15314.0
08-04-13,DYCKMAN ST,6912.0
08-04-13,FRANKLIN ST,2973.0
08-04-13,HOUSTON ST,8352.0
08-04-13,MARBLE HILL-225,4312.0
08-04-13,RECTOR ST,9936.0
08-05-13,103 ST,17354.0
08-05-13,110 ST-CATHEDRL,17767.0
08-05-13,116 ST-COLUMBIA,20156.0
08-05-13,125 ST,14618.0
08-05-13,137 ST-CITY COL,23334.0
08-05-13,14 ST,33972.0
08-05-13,145 ST,17024.0
08-05-13,157 ST,17452.0
08-05-13,168 ST-BROADWAY,23220.0
08-05-13,18 ST,11393.0
08-05-13,181 ST,20886.0
08-05-13,191 ST,4369.0
08-05-13,207 ST,8766.0
08-05-13,215 ST,2844.0
08-05-13,23 ST,25687.0
08-05-13,231 ST,10250.0
08-05-13,238 ST,3679.0
08-05-13,242 ST,9825.0
08-05-13,28 ST,23044.0
08-05-13,34 ST-PENN STA,143629.0
08-05-13,42 ST-TIMES SQ,165357.0
08-05-13,50 ST,46597.0
08-05-13,59 ST-COLUMBUS,19904.0
08-05-13,66 ST-LINCOLN,35147.0
08-05-13,72 ST,73692.0
08-05-13,79 ST,22491.0
08-05-13,86 ST,33203.0
08-05-13,96 ST,22379.0
08-05-13,CANAL ST,12600.0
08-05-13,CHAMBERS ST,34534.0
08-05-13,CHRISTOPHER ST,17316.0
08-05-13,DYCKMAN ST,9403.0
08-05-13,FRANKLIN ST,7882.0
08-05-13,HOUSTON ST,24890.0
08-05-13,MARBLE HILL-225,6432.0
08-05-13,RECTOR ST,19939.0
08-06-13,103 ST,18226.0
08-06-13,110 ST-CATHEDRL,18630.0
08-06-13,116 ST-COLUMBIA,21124.0
08-06-13,125 ST,14336.0
08-06-13,137 ST-CITY COL,23788.0
08-06-13,14 ST,37340.0
08-06-13,145 ST,17288.0
08-06-13,157 ST,18081.0
08-06-13,168 ST-BROADWAY,24808.0
08-06-13,18 ST,12543.0
08-06-13,181 ST,21350.0
08-06-13,207 ST,8805.0
08-06-13,215 ST,3021.0
08-06-13,23 ST,27684.0
08-06-13,231 ST,10361.0
08-06-13,238 ST,3827.0
08-06-13,242 ST,10190.0
08-06-13,28 ST,24495.0
08-06-13,34 ST-PENN STA,174731.0
08-06-13,42 ST-TIMES SQ,174616.0
08-06-13,50 ST,50405.0
08-06-13,59 ST-COLUMBUS,21721.0
08-06-13,66 ST-LINCOLN,36582.0
08-06-13,72 ST,76797.0
08-06-13,79 ST,24350.0
08-06-13,86 ST,34223.0
08-06-13,96 ST,23153.0
08-06-13,CANAL ST,13106.0
08-06-13,CHAMBERS ST,37103.0
08-06-13,CHRISTOPHER ST,19033.0
08-06-13,DYCKMAN ST,9668.0
08-06-13,FRANKLIN ST,8781.0
08-06-13,HOUSTON ST,26682.0
08-06-13,MARBLE HILL-225,6479.0
08-06-13,RECTOR ST,20633.0
08-07-13,103 ST,18652.0
08-07-13,110 ST-CATHEDRL,18716.0
08-07-13,116 ST-COLUMBIA,21750.0
08-07-13,125 ST,14924.0
08-07-13,137 ST-CITY COL,24085.0
08-07-13,14 ST,37571.0
08-07-13,145 ST,17598.0
08-07-13,157 ST,18135.0
08-07-13,168 ST-BROADWAY,24486.0
08-07-13,18 ST,12841.0
08-07-13,181 ST,21499.0
08-07-13,207 ST,8927.0
08-07-13,215 ST,3024.0
08-07-13,23 ST,28316.0
08-07-13,231 ST,11034.0
08-07-13,238 ST,4035.0
08-07-13,242 ST,10112.0
08-07-13,28 ST,24513.0
08-07-13,34 ST-PENN STA,164550.0
08-07-13,42 ST-TIMES SQ,174205.0
08-07-13,50 ST,54262.0
08-07-13,59 ST-COLUMBUS,21854.0
08-07-13,66 ST-LINCOLN,40487.0
08-07-13,72 ST,78074.0
08-07-13,79 ST,24611.0
08-07-13,86 ST,35241.0
08-07-13,96 ST,23875.0
08-07-13,CANAL ST,13456.0
08-07-13,CHAMBERS ST,37080.0
08-07-13,CHRISTOPHER ST,19407.0
08-07-13,DYCKMAN ST,9480.0
08-07-13,FRANKLIN ST,9067.0
08-07-13,HOUSTON ST,27766.0
08-07-13,MARBLE HILL-225,6806.0
08-07-13,RECTOR ST,20820.0
08-08-13,103 ST,18882.0
08-08-13,110 ST-CATHEDRL,20016.0
08-08-13,116 ST-COLUMBIA,31488.0
08-08-13,125 ST,15550.0
08-08-13,137 ST-CITY COL,23677.0
08-08-13,14 ST,37462.0
08-08-13,145 ST,17372.0
08-08-13,157 ST,18349.0
08-08-13,168 ST-BROADWAY,24574.0
08-08-13,18 ST,13275.0
08-08-13,181 ST,21110.0
08-08-13,207 ST,8943.0
08-08-13,215 ST,2962.0
08-08-13,23 ST,28370.0
08-08-13,231 ST,10942.0
08-08-13,238 ST,4005.0
08-08-13,242 ST,9901.0
08-08-13,28 ST,25361.0
08-08-13,34 ST-PENN STA,167587.0
08-08-13,42 ST-TIMES SQ,177895.0
08-08-13,50 ST,54167.0
08-08-13,59 ST-COLUMBUS,22240.0
08-08-13,66 ST-LINCOLN,40087.0
08-08-13,72 ST,77449.0
08-08-13,79 ST,25659.0
08-08-13,86 ST,36285.0
08-08-13,96 ST,23745.0
08-08-13,CANAL ST,13501.0
08-08-13,CHAMBERS ST,36865.0
08-08-13,CHRISTOPHER ST,19911.0
08-08-13,DYCKMAN ST,9212.0
08-08-13,FRANKLIN ST,9159.0
08-08-13,HOUSTON ST,28040.0
08-08-13,MARBLE HILL-225,7404.0
08-08-13,RECTOR ST,20801.0
08-09-13,103 ST,18067.0
08-09-13,110 ST-CATHEDRL,18702.0
08-09-13,116 ST-COLUMBIA,18759.0
08-09-13,125 ST,14780.0
08-09-13,137 ST-CITY COL,22147.0
08-09-13,14 ST,36801.0
08-09-13,145 ST,17086.0
08-09-13,157 ST,17787.0
08-09-13,168 ST-BROADWAY,22845.0
08-09-13,18 ST,12238.0
08-09-13,181 ST,20422.0
08-09-13,207 ST,8546.0
08-09-13,215 ST,2854.0
08-09-13,23 ST,26839.0
08-09-13,231 ST,10023.0
08-09-13,238 ST,3721.0
08-09-13,242 ST,9284.0
08-09-13,28 ST,22753.0
08-09-13,34 ST-PENN STA,160943.0
08-09-13,42 ST-TIMES SQ,171888.0
08-09-13,50 ST,51190.0
08-09-13,59 ST-COLUMBUS,19837.0
08-09-13,66 ST-LINCOLN,36856.0
08-09-13,72 ST,74228.0
08-09-13,79 ST,24229.0
08-09-13,86 ST,34207.0
08-09-13,96 ST,22061.0
08-09-13,CANAL ST,12365.0
08-09-13,CHAMBERS ST,32804.0
08-09-13,CHRISTOPHER ST,19938.0
08-09-13,DYCKMAN ST,9139.0
08-09-13,FRANKLIN ST,7919.0
08-09-13,HOUSTON ST,25284.0
08-09-13,MARBLE HILL-225,7018.0
08-09-13,RECTOR ST,19404.0
08-10-13,103 ST,13817.0
08-10-13,110 ST-CATHEDRL,14111.0
08-10-13,116 ST-COLUMBIA,9045.0
08-10-13,125 ST,11689.0
08-10-13,137 ST-CITY COL,17361.0
08-10-13,14 ST,27852.0
08-10-13,145 ST,14705.0
08-10-13,157 ST,14383.0
08-10-13,168 ST-BROADWAY,11204.0
08-10-13,18 ST,6606.0
08-10-13,181 ST,16418.0
08-10-13,191 ST,8584.0
08-10-13,207 ST,7372.0
08-10-13,215 ST,1673.0
08-10-13,23 ST,15905.0
08-10-13,231 ST,6919.0
08-10-13,238 ST,2348.0
08-10-13,242 ST,7107.0
08-10-13,28 ST,10940.0
08-10-13,34 ST-PENN STA,86956.0
08-10-13,42 ST-TIMES SQ,130536.0
08-10-13,50 ST,18839.0
08-10-13,59 ST-COLUMBUS,12737.0
08-10-13,66 ST-LINCOLN,15789.0
08-10-13,72 ST,63240.0
08-10-13,79 ST,17667.0
08-10-13,86 ST,23256.0
08-10-13,96 ST,15140.0
08-10-13,CANAL ST,6770.0
08-10-13,CHAMBERS ST,17509.0
08-10-13,CHRISTOPHER ST,16547.0
08-10-13,DYCKMAN ST,7428.0
08-10-13,FRANKLIN ST,3639.0
08-10-13,HOUSTON ST,9825.0
08-10-13,MARBLE HILL-225,5234.0
08-10-13,RECTOR ST,11513.0
08-11-13,103 ST,12107.0
08-11-13,110 ST-CATHEDRL,12563.0
08-11-13,116 ST-COLUMBIA,8304.0
08-11-13,125 ST,11069.0
08-11-13,137 ST-CITY COL,15879.0
08-11-13,14 ST,24941.0
08-11-13,145 ST,14416.0
08-11-13,157 ST,13210.0
08-11-13,168 ST-BROADWAY,10278.0
08-11-13,18 ST,5446.0
08-11-13,181 ST,17444.0
08-11-13,191 ST,11747.0
08-11-13,207 ST,6676.0
08-11-13,215 ST,1356.0
08-11-13,23 ST,13961.0
08-11-13,231 ST,6209.0
08-11-13,238 ST,2092.0
08-11-13,242 ST,6682.0
08-11-13,28 ST,8832.0
08-11-13,34 ST-PENN STA,77466.0
08-11-13,42 ST-TIMES SQ,119920.0
08-11-13,50 ST,22148.0
08-11-13,59 ST-COLUMBUS,13471.0
08-11-13,66 ST-LINCOLN,18459.0
08-11-13,72 ST,51811.0
08-11-13,79 ST,16066.0
08-11-13,86 ST,21336.0
08-11-13,96 ST,13658.0
08-11-13,CANAL ST,5425.0
08-11-13,CHAMBERS ST,14479.0
08-11-13,CHRISTOPHER ST,14475.0
08-11-13,DYCKMAN ST,7575.0
08-11-13,FRANKLIN ST,3305.0
08-11-13,HOUSTON ST,8215.0
08-11-13,MARBLE HILL-225,4994.0
08-11-13,RECTOR ST,10061.0
08-12-13,103 ST,16900.0
08-12-13,110 ST-CATHEDRL,16794.0
08-12-13,116 ST-COLUMBIA,18803.0
