C/A,UNIT,SCP,DATE,TIME,DESC,ENTRIES,EXITS,DATETIME,TURNSTILE_ID,NET_ENTRIES,NET_EXITS,BUSYNESS
A002,R051,02-00-00,08-26-13,00:00:00,REGULAR,4247664.0,1454662.0,2013-08-26 00:00:00,A002-R051-02-00-00,88.0,25.0,113.0
A002,R051,02-00-00,08-26-13,04:00:00,REGULAR,4247678.0,1454664.0,2013-08-26 04:00:00,A002-R051-02-00-00,14.0,2.0,16.0
A002,R051,02-00-00,08-26-13,08:00:00,REGULAR,4247708.0,1454745.0,2013-08-26 08:00:00,A002-R051-02-00-00,30.0,81.0,111.0
A002,R051,02-00-00,08-26-13,12:00:00,REGULAR,4247868.0,1454958.0,2013-08-26 12:00:00,A002-R051-02-00-00,160.0,213.0,373.0
A002,R051,02-00-00,08-26-13,16:00:00,REGULAR,4248092.0,1455015.0,2013-08-26 16:00:00,A002-R051-02-00-00,224.0,57.0,281.0
A002,R051,02-00-00,08-26-13,20:00:00,REGULAR,4249022.0,1455086.0,2013-08-26 20:00:00,A002-R051-02-00-00,930.0,71.0,1001.0
A002,R051,02-00-01,08-26-13,00:00:00,REGULAR,4005677.0,871475.0,2013-08-26 00:00:00,A002-R051-02-00-01,66.0,21.0,87.0
A002,R051,02-00-01,08-26-13,04:00:00,REGULAR,4005687.0,871477.0,2013-08-26 04:00:00,A002-R051-02-00-01,10.0,2.0,12.0
A002,R051,02-00-01,08-26-13,08:00:00,REGULAR,4005721.0,871519.0,2013-08-26 08:00:00,A002-R051-02-00-01,34.0,42.0,76.0
A002,R051,02-00-01,08-26-13,12:00:00,REGULAR,4005841.0,871652.0,2013-08-26 12:00:00,A002-R051-02-00-01,120.0,133.0,253.0
A002,R051,02-00-01,08-26-13,16:00:00,REGULAR,4006040.0,871698.0,2013-08-26 16:00:00,A002-R051-02-00-01,199.0,46.0,245.0
A002,R051,02-00-01,08-26-13,20:00:00,REGULAR,4006483.0,871765.0,2013-08-26 20:00:00,A002-R051-02-00-01,443.0,67.0,510.0
A002,R051,02-03-00,08-26-13,00:00:00,REGULAR,171114.0,592214.0,2013-08-26 00:00:00,A002-R051-02-03-00,74.0,219.0,293.0
