STATION,BUSYNESS,Station.Latitude,Station.Longitude
AVE 1,43966.15833,40.625322,-73.976127
103 ST,51884.47778,40.796092,-73.961454
103 ST,30664.51389,40.796092,-73.961454
104 ST-102 ST,3872.597222,40.695178,-73.84433
110 ST,19464.29444,40.79502,-73.94425
110 ST,18955.51667,40.79502,-73.94425
110 ST,14410.25556,40.79502,-73.94425
111 ST,21248.06944,40.697418,-73.836345
116 ST,49131.28611,40.805085,-73.954882
116 ST-Columbia University,20700.975,40.807722,-73.96411
25 ST,3273.655556,40.660397,-73.998091
125 ST,128455.9222,40.811109,-73.952343
135 ST,26256.725,40.817894,-73.947649
137 ST-City College,25545.67222,40.822008,-73.953676
138 ST-3 AVEe,12171.23611,40.810476,-73.926138
138 ST,5201.052778,40.813224,-73.929849
14 ST,66645.00556,40.738228,-73.996209
14 ST,34522.96667,40.738228,-73.996209
14 ST-Union Square,187114.4083,40.734673,-73.989951
145 ST,59906.525,40.824783,-73.944216
Harlem-148 ST,6206.527778,40.82388,-73.93647
149 ST-3 AVE,28821.11944,40.816109,-73.917757
149 ST-Gra Concourse,19667.82778,40.818375,-73.927351
25 ST,15882.28889,40.660397,-73.998091
Prospect Park-15 ST,8444.469444,40.660365,-73.979493
155 ST,9929.530556,40.830518,-73.941514
157 ST,16647.66389,40.834041,-73.94489
Yankee STadium-161st ST,38456.69722,40.827905,-73.925651
163 ST - Amsteam AVE,5521.752778,40.836013,-73.939892
167 ST,29305.80556,40.833769,-73.918432
Broadway-Lafayette ST,37651.35,40.725297,-73.996204
169 ST,14517.33889,40.71047,-73.793604
170 ST,22687.93333,40.839306,-73.9134
174 ST,12010.77222,40.837288,-73.887734
175 ST,6302.636111,40.847391,-73.939704
175 ST,18010.01389,40.847391,-73.939704
176 ST,7915.058333,40.84848,-73.911794
18 AVE,22958.34444,40.629755,-73.976971
18 ST,11665.46667,40.74104,-73.997871
25 ST,37159.36111,40.660397,-73.998091
182-183 STs,5868.080556,40.856093,-73.900741
183 ST,8619.322222,40.858407,-73.903879
190 ST,6039.952778,40.859022,-73.93418
25 ST,14660.03611,40.660397,-73.998091
2 AVE,32818.09722,40.723402,-73.989938
20 AVE,12508.6,40.61741,-73.985026
